"Clubstek n”t biff m ben;100;0;679;162;0;9,3;0,5;0;2,3;7;54"
"Cola light;100;0;3;1;0,1;0;0;0;0;4;6"
"Coladryck;100;0;179;43;10,5;0;0;0;0,03;3;4"
"Corned beef konserv;100;0;914;218;0,4;12,1;0,36;0;2,3;14;950"
"Couscous;100;5;1ÿ512;361;72,4;0,6;0;0;1,08;24;10"
"Couscous tillagad;100;1,4;453;108;21,8;0,2;0;0;0,38;8;5"
"Crab sticks Ullmo;100;1,1;520;124;18,8;2,4;0,14;;0,57;136;842"
"Creme Fraiche 13% fett, olika smaker;100;0;652;156;6,7;13,2;0,1;0;0,38;88;380"
"Creme Fraiche 28% fett smaksatt;100;0;1ÿ149;275;4,4;28,1;0,1;0;0,17;52;492"
"CrŠme fraiche 34% fett;100;0;1ÿ353;323;3,3;34;0,24;0;0,07;79;28"
"Creme Fraiche Blue Cheese 15% fett;100;0;736;176;6,1;15,1;0,1;0;0,12;76;573"
"CrŠme Fraiche gourmet Bearnaise Saffran&tomat fett 27 %;100;0,2;1ÿ167;279;6,8;27,3;0,19;1;0,32;71;559"
"Crˆpefyllning, kall f”rr„tt ospec.;100;0,1;558;133;1,5;7,6;2,58;5;0,77;56;747"
"Croissant fransk giffel;100;1,4;1ÿ254;300;39,4;12,4;1,45;1;1,01;15;397"
"Cumberlands†s;100;0,9;838;200;45,1;0,3;0;18;0,92;46;14"
"Currys†s;100;0,1;375;90;3,5;8,1;0,03;8;0,14;12;234"
"Currys†s m L„tt CrŠme Fraiche;100;0;247;59;4,9;3,1;0,26;0;0,07;88;373"
"Dadlar torkade;100;6;1ÿ253;299;68;0,4;0;0;1,3;32;3"
"Dansk sj”mansbiff;100;1,3;554;132;14,5;4,4;0,17;4;1,1;27;624"
"Delikatessyoghurt 7 % fett;100;0;540;129;14;7;0,05;0;0;100;36"
"Digestivekex;100;3,4;1ÿ991;476;66,1;19,8;0,1;0;1,36;60;646"
"Digestivekex glutenfritt Semper;100;3,2;1ÿ935;462;75,3;16,1;0;0;2,3;100;475"
"Dill;100;2,8;241;58;7,4;0,8;0;70;3,2;343;26"
"Dillk”tt m n”tk”tt m purjol”k mor”tter o s†s hemlagad;100;0,6;479;115;4,9;6,8;0,33;4;1;16;270"
"Dillk”tt n”tk”tt m s†s fryst;100;0;423;101;2,7;5;0,48;0;1;30;470"
"Dills†s;100;0,2;363;87;4;7,5;0,02;2;0,22;24;259"
"Dippmix pulver olika smaker;100;5,4;1ÿ286;307;59,3;1,1;0,1;5;1,77;226;6ÿ496"
"Dopp i grytan;100;1,3;402;96;17,7;0,9;0,04;0;1,13;13;227"
"Dressing ca 25% fett;100;0;1ÿ098;263;9,7;25;0;0;0,2;9;710"
"Dressing fettfri 0% fett;100;0;250;60;13,1;0;0;0;0,5;13;150"
"Dressing majonn„s ca 25% fett;100;0;1ÿ268;303;19,7;25;0;0;0,1;14;690"
"Dressing majonn„s ca 40% fett;100;0,2;1ÿ898;454;24;40;0;0;0,3;11;680"
"Dressing majonn„s ca 60% fett;100;0;2ÿ395;572;9,5;59,9;0;0;0,2;11;350"
"Dressing majonn„s l„tt ca 15% fett;100;0;907;217;20,8;14,5;0;4;0,3;6;611"
"Dressing olja ca 25% fett;100;0;1ÿ272;304;15;26,6;0;0;0,4;12;1ÿ015"
"Dressing olja ca 45% fett;100;0;1ÿ739;416;8;43,1;0;0;0,2;10;216"
"Dressing vin„grett 65% fett;100;0;2ÿ453;586;2,2;65;0;0;0,3;22;780"
"Dressing vin„grett m vatten ca 42% fett;100;0,1;1ÿ676;401;3,2;43,6;0;0;0,83;20;632"
"Druvjuice konserv drickf;100;0,5;262;63;14,6;0;0;3;0,2;9;3"
"Druvk„rnolja;100;0;3ÿ700;884;0;100;0;0;0;0;0"
"Druvsocker;100;0;1ÿ549;370;91,1;0;0;0;0;0;1"
"Dr”mrullt†rta;100;1,8;1ÿ632;390;53,2;16,5;0,94;0;1,2;59;282"
"Dr”mt†rta chokladrullt†rta;100;0,9;1ÿ619;387;54,1;16,8;0,46;0;0,83;118;218"
"Durra o andra sorghumarter;100;3,2;1ÿ521;364;69,8;3,3;0;0;4,4;28;3"
"Duva m skinn;100;0;1ÿ203;287;0;24;1,4;0;7,5;45;90"
"Duva stekt;100;0;575;137;0;7,5;0,4;0;7,5;45;90"
"Duva stekt M;100;0;1ÿ871;447;0;37,3;2,18;0;11,67;71;306"
"D”ner kebab;100;1,2;712;170;16,8;6,3;0,23;7;1,55;14;407"
"Enchilada vetetortilla m k”ttf„rs nachos ost sallad;100;2,7;711;170;11,7;10,2;0,35;0;1,37;80;377"
"Endivesallat;100;2,2;57;14;1,1;0,1;0;4;0,5;22;2"
"Energibar choklad n”tter Start;100;4,5;1ÿ753;419;69,6;11,2;0,42;0;2,87;35;161"
"Entrec“te n”t;100;0;690;165;0;9,5;0,8;0;2,3;7;54"
"Entrec“te n”t stekt;100;0;905;216;0;12,5;1,05;0;3,02;10;175"
"Falafel, kik„rtskroketter frysta;100;7,2;1ÿ007;241;24,2;11,2;0;1;2,01;71;502"
"Falukorv 18% fett;100;0;897;214;2,5;17,9;0,2;0;1;8;780"
"Falukorv 23% fett;100;0;1ÿ082;259;3,7;23;0,2;0;1,2;10;780"
"Falukorv i skivor kokt;100;0;1ÿ304;312;4,5;27,7;0,24;0;1,45;12;940"
"Falukorv m h†rdost tomat l”k „pple ugnsstekt;100;0,9;705;169;6,4;12,6;0,1;3;0,68;83;378"
"Falukorv mager stekt utan fett;100;0;975;233;2,7;19,5;0,22;0;1,09;9;848"
"Falukorv stekt;100;0;1ÿ176;281;4;25;0,22;0;1,3;11;848"
"Fasan;100;0;533;127;0;3,6;0,4;0;1,2;13;37"
"Fasan m skinn;100;0;727;174;0;9,3;1,4;0;1,2;12;40"
"Fasan stekt;100;0;1ÿ012;242;0;13;1,95;0;1,68;18;497"
"Fattiga riddare;100;1,5;902;216;32,1;5,9;0,2;0;0,66;83;217"
"Fefferoni inlagd konserv;100;4,5;80;19;1,7;0,1;0;0;0,69;32;1ÿ725"
"Fetaost 16% fett;100;0;895;214;0,8;16;0,11;0;0,6;620;1ÿ100"
"Fetaost 25% fett;100;0;1ÿ242;297;1,8;24,7;0,17;0;0,5;620;1ÿ116"
"Fettfri majonn„s < 0.5% fett;100;0;346;83;18,8;0,5;0;0;0,08;14;966"
"Fiberhavregryn †ngprep;100;15;1ÿ476;353;52;6,7;0;0;5,5;58;2"
"Fikon;100;2,5;244;58;11,7;0,3;0;2;0,4;35;1"
"Fikon konserv m medels”t lag;100;2,5;382;91;20,7;0,1;0;1;0,3;27;1"
"Fikon torkade;100;18,5;1ÿ238;296;57,9;1,2;0;0;2,2;144;11"
"Filbunke m vispgr„dde ca 5% fett;100;0;303;72;4,8;4,4;0,03;0;0,04;114;40"
"Filmj”lk 3% fett;100;0;251;60;4,8;3;0,02;0;0,04;116;41"
"Filmj”lks- o gr„ddfils†s olika smaks„ttningar ca 9% fett;100;0,3;498;119;4,8;9,6;0,1;7;0,31;123;317"
